StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q181,Q29_First Click,Q29_Last Click,Q29_Page Submit,Q29_Click Count,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q210,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count,Q27_First Click,Q27_Last Click,Q27_Page Submit,Q27_Click Count,Q211,Q215,Q213,Q214,mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,round,transfer,story,story1tit,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,"Please write one or two sentences summarizing the story. Your summary should accurately reflect the story’s content, as it will be checked for consistency.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",What is your age?,Are you currenty employed?,"Including yourself, how many people work on your immediate team?



By “immediate/direct team,” we mean the group of people you work with regularly and share responsibilities with (not the entire company).",mistake,allocation,PROLIFIC_PID,SESSION_ID,STUDY_ID,treatment,round,transfer,story,story1tit,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID181_TEXT""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""QID33_FIRST_CLICK""}","{""ImportId"":""QID33_LAST_CLICK""}","{""ImportId"":""QID33_PAGE_SUBMIT""}","{""ImportId"":""QID33_CLICK_COUNT""}","{""ImportId"":""QID210_TEXT""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID27_FIRST_CLICK""}","{""ImportId"":""QID27_LAST_CLICK""}","{""ImportId"":""QID27_PAGE_SUBMIT""}","{""ImportId"":""QID27_CLICK_COUNT""}","{""ImportId"":""QID211_TEXT""}","{""ImportId"":""QID215_TEXT""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214_TEXT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""treatment""}","{""ImportId"":""round""}","{""ImportId"":""transfer""}","{""ImportId"":""story""}","{""ImportId"":""story1tit""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-12-02 13:31:05,2025-12-02 13:36:17,IP Address,,100,312,True,2025-12-02 13:36:18,R_2q9izRNiRjSRuGx,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,"James applied and was accepted for financial assistance. His neighbour, Mark, was not successful. Now James is wondering if he should give some of his money to Mark.",,,,,,,,,,0,0,2.016,0,11.627,13.939,15.128,2,"I don't believe there is another participant, so I kept the full amount.",45,Yes,3,0,12,5cfe8afe31c8d200158fd222,692ee9fb11b4b337902190ef,692eb43c8ab737cd5f65d153,kw,1,0,4,The Aid Program,1,
2025-12-02 13:34:24,2025-12-02 13:38:35,IP Address,,100,250,True,2025-12-02 13:38:35,R_8HnwKS2xVsjbLmb,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,"a pair of workers exceeded their sales target. Therefore the boss is allocating an amount of money to the team lead (Steve). Steve has been given the full bonus amount available, and must now choose how much of the bonus to allocate to his teammate (Max). ",0,0,3.01,0,7.861,15.277,16.601,3,"I wanted to give him some of the additional bonus that I received, however I also wanted to keep the larger amount of money. ",,,,,,,,,,23,Yes,3,0,7,5ff7191fc4d15f3308c4365c,692eeadb1fbde11a48f19982,692eb43c8ab737cd5f65d153,lt,1,1,2,The Splitting Decision,1,
2025-12-02 13:34:32,2025-12-02 13:39:16,IP Address,,100,283,True,2025-12-02 13:39:16,R_8hGG8lyfjYxLPCV,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,"Steve has a moral dilemma, after his team was awarded a performance bonus for exceeding a sales target.  He can keep the full bonus or allocate it to different members",,,,,,,,,,0,0,2.112,0,6.655,7.548,8.992,2,"it's half so we're getting the same, didn't seem right not to share it",57,Yes,4,0,6,5c345ebad4f77a0001a91ec0,692eeadf5087ccdea133cf1b,692eb43c8ab737cd5f65d153,kw,1,6,2,The Splitting Decision,1,
2025-12-02 13:31:55,2025-12-02 13:40:50,IP Address,,100,535,True,2025-12-02 13:40:51,R_8M6BkxClMtBTQE2,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,James and his neighbour Mark both applied for financial assistance from a government agency. James was selected to receive assistance but Mark wasn't. James then had a choice to keep the money himself or give some of it to Mark. ,0,0,3.124,0,30.368,32.105,38.405,2,To be fair to the other participant I allocated $2 which gave us both $6,,,,,,,,,,74,No,,0,6,59e8a9b1d838ae0001850c89,692eea14521e4c8a7eff1b38,692eb43c8ab737cd5f65d153,lt,1,2,4,The Aid Program,1,
2025-12-02 13:36:52,2025-12-02 13:44:02,IP Address,,100,429,True,2025-12-02 13:44:02,R_8rl75DLcDyXbgUV,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,Steve's team was allocated a performance bonus. He and his team had workedlong and hard to achieve this.The manager allocated the whole bonus to Steve telling him he could keep the whole sum if he wished. Max had made a large contribution to the project and Steve had to decide whether to share the bonus or keep the whole sum himself.,0,0,3.024,0,12.666,12.666,14.104,1,I gave the extra amount to make our money an equal amount each.,,,,,,,,,,69,No,,0,6,60ce6af707bcd42cbc885210,692eeb517e7c573628d5cc11,692eb43c8ab737cd5f65d153,lt,1,2,2,The Splitting Decision,1,
2025-12-02 13:39:26,2025-12-02 13:46:17,IP Address,,100,411,True,2025-12-02 13:46:17,R_5WvbslLQDyIQgeN,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,"Both James and Mark are experiencing significant financial struggles. James is selected to receive financial aid from the government, while Mark is not selected. James and Mark are neighbors, but don't know each other very well. James is struggling to decide whether to share the money he received with Mark, or keep it for himself.",0,0,3.006,0,24.492,27.981,35.768,2,"That way we could split it evenly. I don't know this person, but they are likely doing Prolific surveys for the same reason I am, which is they need the money.",,,,,,,,,,41,No,,0,6,67044749c28abfd636ceedf0,692eec0455e5b583b9d0b453,692eb43c8ab737cd5f65d153,lt,1,2,4,The Aid Program,1,
2025-12-02 13:48:25,2025-12-02 13:55:11,IP Address,,100,406,True,2025-12-02 13:55:11,R_2x2t3tbq4TzPbnr,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,James has been struggling for money but he has been accepted for government financial help. He is wondering whether he should give some money to his neighbour who was not accepted.,0,0,3.021,0,8.57,19.825,22.62,3,"I wanted to give them something as I had a fair bit more than them, but I also did not want to give up too much of my allocation",,,,,,,,,,30,Yes,6,0,6.5,5e35cdd13b22bc5789b14d86,692eee090aba700b59b619e8,692eb43c8ab737cd5f65d153,lt,1,1.5,4,The Aid Program,1,
2025-12-02 13:52:41,2025-12-02 13:58:04,IP Address,,100,323,True,2025-12-02 13:58:04,R_6twCEcjPzxxQXp7,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,Steve and Max were awarded a bonus for exceeding the sales target. Steve's director gave the total bonus to him and told Steve that the bonus was his to decide  the final share between them. Max did a big portion of the work.,,,,,,,,,,0,0,2.118,0,10.882,12.45,12.9,2,"I wanted to be somewhat fair. Since I am doing the work, I think I should get a bigger portion of the pot",73,Yes,5,0,7,5c3c7913b4f22c0001a0809c,692eef21a29da48d57044848,692eb43c8ab737cd5f65d153,kw,1,5,2,The Splitting Decision,1,
2025-12-02 13:58:37,2025-12-02 14:02:31,IP Address,,100,233,True,2025-12-02 14:02:31,R_85BEWvaQFNoE1WT,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,"Steve, with the help of his team, exceeded a sales target.  Steve was then offered to share the reward for this with one of his colleagues.",0,0,3.02,0,6.221,14.549,17.285,8,"to make the allocation completely equal, we will bolt then receive 6 ",,,,,,,,,,43,Yes,5,0,6,674079758b309b232c5c4045,692ef07fcc763efeb18cbb12,692eb43c8ab737cd5f65d153,lt,1,2,2,The Splitting Decision,1,
2025-12-02 13:56:42,2025-12-02 14:10:06,IP Address,,100,804,True,2025-12-02 14:10:07,R_2Y5ovJrHaIDNmVx,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,James applied for government aid to help him get through a tough personal finance issue. Unbeknown to James a neighbour called Mark also applied for the financial aid. James was accepted but Mark was not. James was now in a moral dilemma and needed to make a decision on whether to help Mark by sharing some of the financial aid.,,,,,,,,,,0,0,2.027,0,33.731,33.731,36.609,1,I just think it is the morally right decision to make and share half of what I have been allocated. The story about James and Mark was also a clear reminder about fairness and morals within our society. I would hope that the majority of other participants would also share half of their allocation.,54,Yes,36,0,6,6266ac01a2a15cce6ed5fba7,692ef01060430fd5fe512059,692eb43c8ab737cd5f65d153,kw,1,6,4,The Aid Program,1,
2025-12-02 13:58:38,2025-12-02 14:15:49,IP Address,,100,1030,True,2025-12-02 14:15:49,R_2hlktMUPNinsIOu,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,Max must decide whether to keep or share his reward,0,0,3.112,0,3.711,12.55,16.909,2,"I would like more of the reward for myself, which means there is more for me.",,,,,,,,,,40,Yes,6,0,12,60ee998ece5d505f67377c0b,692ef08900ea5231c3ad4cef,692eb43c8ab737cd5f65d153,lt,1,-4,2,The Splitting Decision,1,
2025-12-02 14:23:37,2025-12-02 14:28:03,IP Address,,100,266,True,2025-12-02 14:28:04,R_8tslFIeN8EqTrEd,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,Steve's team got a perfomrance bonus at work.  As Steve was the team leader the full bonus was allocated to him and he had to decide whether to give his team mate Max a portion as Max had made a significant contribution to the teams sucess.,,,,,,,,,,0,0,2.024,0,5.566,6.523,7.807,2,I feel its only fair that we split the money. The other prolific participant has done exactly the same task as me.,43,Yes,17,0,6,6101eeecbfd86b113fe98d3b,692ef66020d3bcec969ec2e9,692eb43c8ab737cd5f65d153,kw,1,6,2,The Splitting Decision,1,
2025-12-02 14:24:37,2025-12-02 14:31:13,IP Address,,100,396,True,2025-12-02 14:31:14,R_8HvjY368L1LwsvS,,,,,,,anonymous,EN,Very interested,,,I've never heard of it,..another participant from Prolific,..affects earnining for both you and your match,James and mark are neighbours who are both struggling financially and have both applied for financial aid. Only Jame was approved and he feels guilty about it.,,,,,,,,,,0,0,2.007,0,10.396,11.614,14.989,2,Because i am financially in need and I dont know the other person.,32,Yes,1,0,12,65e4a6bdde84e615dcac2651,692ef69deba6398782ac462a,692eb43c8ab737cd5f65d153,kw,1,0,4,The Aid Program,1,
