StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,attention_check_1,attention_check_2,attention_check_3,attention_check_4,Q3,Q4,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,Q71,Q123,Q124,Q72,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q162,Q132_First Click,Q132_Last Click,Q132_Page Submit,Q132_Click Count,Q2,Q3,Q4,Q5,Q6,Q7,Q107_First Click,Q107_Last Click,Q107_Page Submit,Q107_Click Count,Q110,Q111,Q126,Q148,Q114_First Click,Q114_Last Click,Q114_Page Submit,Q114_Click Count,Q161,Q140_First Click,Q140_Last Click,Q140_Page Submit,Q140_Click Count,Q2,Q3,Q4,mistake,allocation_kw,allocation_lt,PROLIFIC_PID,SESSION_ID,STUDY_ID,round,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,memory_lt_-$4,memory_lt_$0,memory_lt_$2,memory_lt_$4,memory_kw_$0,memory_kw_$4,memory_kw_$6,memory_kw_$8,hp_kw_4,reasons_kw,reasons_lt,kw_first,attention_check,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Very interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - A bit interested","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - Not interested at all","This question concerns the following problem: Often, participants click through surveys like this one without reading the instructions carefully. As a consequence, many of the participants can't be used in research. To show us that you are reading the questions carefully, please give the following answers to the question below: ""Very interested"" and ""I’ve never heard of it"".

Based on the text you read above: How interested are you in American Football? - I've never heard of it",You are being matched with..,The decision on how to split the money..,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_lt_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_lt_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What color is this word shown in?




YELLOW","What color is this word shown in?





 
RED","What color is this word shown in?





 
BROWN","What color is this word shown in?





 
MAGENTA","What color is this word shown in?





 
GREEN","What color is this word shown in?





 
ORANGE",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Imagine transferring [Field-hp_kw_1] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_2] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_3] to the other participant. What do you find it similar to?,Imagine transferring [Field-hp_kw_4] to the other participant. What do you find it similar to?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please briefly explain why you chose this allocation.



It is crucial that you answer this question truthfully and carefully.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your age?,Are you currenty employed?,"Including yourself, how many people work on your immediate team?



By “immediate/direct team,” we mean the group of people you work with regularly and share responsibilities with (not the entire company).",mistake,allocation_kw,allocation_lt,PROLIFIC_PID,SESSION_ID,STUDY_ID,round,hp_lt_1,hp_lt_2,hp_lt_3,hp_lt_4,hp_kw_1,hp_kw_2,hp_kw_3,memory_lt_-$4,memory_lt_$0,memory_lt_$2,memory_lt_$4,memory_kw_$0,memory_kw_$4,memory_kw_$6,memory_kw_$8,hp_kw_4,reasons_kw,reasons_lt,kw_first,attention_check,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Z""}","{""ImportId"":""endDate"",""timeZone"":""Z""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Z""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID25"",""choiceId"":""1""}","{""ImportId"":""QID25"",""choiceId"":""2""}","{""ImportId"":""QID25"",""choiceId"":""3""}","{""ImportId"":""QID25"",""choiceId"":""4""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID65_FIRST_CLICK""}","{""ImportId"":""QID65_LAST_CLICK""}","{""ImportId"":""QID65_PAGE_SUBMIT""}","{""ImportId"":""QID65_CLICK_COUNT""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID123_TEXT""}","{""ImportId"":""QID124_TEXT""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID69_FIRST_CLICK""}","{""ImportId"":""QID69_LAST_CLICK""}","{""ImportId"":""QID69_PAGE_SUBMIT""}","{""ImportId"":""QID69_CLICK_COUNT""}","{""ImportId"":""QID162_TEXT""}","{""ImportId"":""QID132_FIRST_CLICK""}","{""ImportId"":""QID132_LAST_CLICK""}","{""ImportId"":""QID132_PAGE_SUBMIT""}","{""ImportId"":""QID132_CLICK_COUNT""}","{""ImportId"":""QID1219179840""}","{""ImportId"":""QID1219179841""}","{""ImportId"":""QID1219179842""}","{""ImportId"":""QID1219179843""}","{""ImportId"":""QID1219179844""}","{""ImportId"":""QID1219179845""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""QID126_TEXT""}","{""ImportId"":""QID148_TEXT""}","{""ImportId"":""QID114_FIRST_CLICK""}","{""ImportId"":""QID114_LAST_CLICK""}","{""ImportId"":""QID114_PAGE_SUBMIT""}","{""ImportId"":""QID114_CLICK_COUNT""}","{""ImportId"":""QID161_TEXT""}","{""ImportId"":""QID140_FIRST_CLICK""}","{""ImportId"":""QID140_LAST_CLICK""}","{""ImportId"":""QID140_PAGE_SUBMIT""}","{""ImportId"":""QID140_CLICK_COUNT""}","{""ImportId"":""QID1219179836_TEXT""}","{""ImportId"":""QID1219179837""}","{""ImportId"":""QID1219179838_TEXT""}","{""ImportId"":""mistake""}","{""ImportId"":""allocation_kw""}","{""ImportId"":""allocation_lt""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""round""}","{""ImportId"":""hp_lt_1""}","{""ImportId"":""hp_lt_2""}","{""ImportId"":""hp_lt_3""}","{""ImportId"":""hp_lt_4""}","{""ImportId"":""hp_kw_1""}","{""ImportId"":""hp_kw_2""}","{""ImportId"":""hp_kw_3""}","{""ImportId"":""memory_lt_-$4""}","{""ImportId"":""memory_lt_$0""}","{""ImportId"":""memory_lt_$2""}","{""ImportId"":""memory_lt_$4""}","{""ImportId"":""memory_kw_$0""}","{""ImportId"":""memory_kw_$4""}","{""ImportId"":""memory_kw_$6""}","{""ImportId"":""memory_kw_$8""}","{""ImportId"":""hp_kw_4""}","{""ImportId"":""reasons_kw""}","{""ImportId"":""reasons_lt""}","{""ImportId"":""kw_first""}","{""ImportId"":""attention_check""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-12-09 11:19:44,2025-12-09 11:28:21,0,,100,516,1,2025-12-09 11:28:21,R_7ZEWF0k11LiLUep,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.117,0,being unfair to someone,being fair with someone,not helping someone,being very kind to someone,3.393,13.026,14.903,3,I wanted to be fair with the other participant,0,0,0.236,0,1,4,6,2,5,3,0,0,2.013,0,taking advantage of someone,being kind to another person,being fair to another person,sharing a little with someone,0.017,10.271,12.011,3,I wanted to be fair with the other participant,0,0,0.227,0,37,1,11,0,6,6,5dd5e27fe25acf59990e1adf,693805c100693b450b388bcf,6937e69e78cf183d05203ffa,1,'-$4,$2,$0,$4,$0,$8,$6,being unfair to someone,not helping someone,being fair with someone,being very kind to someone,taking advantage of someone,sharing a little with someone,being fair to another person,being kind to another person,$4,I wanted to be fair with the other participant,I wanted to be fair with the other participant,1,1,
2025-12-09 11:29:40,2025-12-09 11:38:04,0,,100,503,1,2025-12-09 11:38:04,R_2KxzpS0jngooUyQ,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.117,0,Absolutley nothing but kindness.,Nothing but kindness.,Nothing.,A pointless exercise.,9.996,17.765,19.1,4,I enjoy giving.,0,0,0.214,0,1,4,6,2,5,3,0,0,2.016,0,Being nice.,Same as before being nice.,I don't consider that as anything.,Being nice.,3.888,5.821,7.363,2,As I said before I enjoy giving.,0,0,0.214,0,65,1,4,1,0,0,6673eea04e15d2d270aa7ff8,69380819e5596acb7d3764cc,6937e69e78cf183d05203ffa,1,$2,$4,$0,'-$4,$8,$6,$0,A pointless exercise.,Nothing.,Absolutley nothing but kindness.,Nothing but kindness.,I don't consider that as anything.,Being nice.,Same as before being nice.,Being nice.,$4,As I said before I enjoy giving.,I enjoy giving.,0,1,
2025-12-09 11:49:15,2025-12-09 11:59:48,0,,100,633,1,2025-12-09 11:59:48,R_8jm4HFQhc7I8zxy,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.017,0,i give them 2 so both of us end with 6 each. it is fair. the other person is a good friend,"i would end up with 4, they would end up with 8. it means i am giving them more than i have. i must love the other person more than myself. they must be a partner or my child.","i am taking away their money, leaving them with 0 and getting 12 in total. i must detest the other person very much. they must be someone who did something wrong to me.",i am leaving them with their money and i will just keep mine. they must be that friend who does not spend money wisely.,2.644,9.108,11.355,3,it is just fair that the both of us end with 6 each,0,0,0.224,0,1,4,6,2,5,3,0,0,2.023,0,"the other person is someone i detest, therefore, no money for them",i give this person more money than i can get; that means i love them a lot. this could be a partner or a child,"i fairly split the amount into half, so the other person is probably a friend","i give them less than i can get, therefore, the other person is someone i do not dislike but i think they do not deserve as much as me or that they would use that money unwisely. maybe a friend who always wastes their money gambling or buying cigarettes",9.014,13.894,16.397,2,"it is just fair, 50% each",0,0,0.227,0,36,1,3,0,6,6,6682504bc0252a33b4c4406e,69380cb592652f161aa84660,6937e69e78cf183d05203ffa,1,$2,$4,'-$4,$0,$0,$8,$6,"i am taking away their money, leaving them with 0 and getting 12 in total. i must detest the other person very much. they must be someone who did something wrong to me.",i am leaving them with their money and i will just keep mine. they must be that friend who does not spend money wisely.,i give them 2 so both of us end with 6 each. it is fair. the other person is a good friend,"i would end up with 4, they would end up with 8. it means i am giving them more than i have. i must love the other person more than myself. they must be a partner or my child.","the other person is someone i detest, therefore, no money for them","i give them less than i can get, therefore, the other person is someone i do not dislike but i think they do not deserve as much as me or that they would use that money unwisely. maybe a friend who always wastes their money gambling or buying cigarettes","i fairly split the amount into half, so the other person is probably a friend",i give this person more money than i can get; that means i love them a lot. this could be a partner or a child,$4,"it is just fair, 50% each",it is just fair that the both of us end with 6 each,1,1,
2025-12-09 11:57:27,2025-12-09 12:05:00,0,,100,453,1,2025-12-09 12:05:01,R_2H2yQoIG9ki0opj,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.112,0,"This is comparable to sharing, in my opinion.",I would compare this to taking payment for a service. ,I do not find this similar to anything in particular. There are not many instances that would be notable where you are not taking money from someone else.,This is similar to paying a small fee for an item. ,2.907,9.017,9.796,3,I felt that this was a more fair division of the allocation. It kept me at a profit but also gave the match a slightly higher reward.,0,0,0.218,0,1,4,6,2,5,3,0,0,2.006,0,This would be similar to being paid from your salary and having no outgoings to cover! ,"This would be a nice, equal share. It reminds me of living with my spouse and sharing our earnings equally.",This is similar to paying a small fee for a service.,"This is similar to paying taxes, for some! You earn a good amount of money but then unfortunately have to pay a decent chunk of it out as expenses.",9.501,9.501,10.239,1,"I would have felt bad if the match didn't receive anything at all, so I decided to share it equally.",0,0,0.217,0,35,1,4,0,6,7,60d8f98d9d58bf54aeb8438a,69380ea2df979b8d6dca19e5,6937e69e78cf183d05203ffa,1,$4,'-$4,$0,$2,$0,$6,$4,I would compare this to taking payment for a service. ,I do not find this similar to anything in particular. There are not many instances that would be notable where you are not taking money from someone else.,This is similar to paying a small fee for an item. ,"This is comparable to sharing, in my opinion.",This would be similar to being paid from your salary and having no outgoings to cover! ,This is similar to paying a small fee for a service.,"This would be a nice, equal share. It reminds me of living with my spouse and sharing our earnings equally.","This is similar to paying taxes, for some! You earn a good amount of money but then unfortunately have to pay a decent chunk of it out as expenses.",$8,"I would have felt bad if the match didn't receive anything at all, so I decided to share it equally.",I felt that this was a more fair division of the allocation. It kept me at a profit but also gave the match a slightly higher reward.,0,1,
2025-12-09 12:17:33,2025-12-09 12:18:48,0,,100,74,1,2025-12-09 12:18:48,R_89iQZi3ruxXMpbq,,,,,,,anonymous,EN,1,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5707c88f374137000fbc5aec,69381355c7033432617d2b4c,6937e69e78cf183d05203ffa,1,$4,$0,'-$4,$2,$0,$4,$8,,,,,,,,,$6,,,,1,
2025-12-09 12:09:44,2025-12-09 12:26:25,0,,100,1001,1,2025-12-09 12:26:25,R_8s0iRO3HHcE9H7X,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.015,0,making it an even split,they need it more than me,me being selfish,that's stealing,9.818,12.867,16.473,4,so its fair for both of us,0,0,0.214,0,1,4,6,2,5,3,0,0,2.011,0,helping someone out,keeping everything to myself,paying something important,helping someone out,6.333,11.731,15.023,5,i think a 50/50 split is fair,0,0,0.216,0,38,1,16,0,6,6,6598f71c3d07928cc1890b9f,69381178f4d7b397e3059346,6937e69e78cf183d05203ffa,1,$2,$4,$0,'-$4,$4,$0,$8,that's stealing,me being selfish,making it an even split,they need it more than me,keeping everything to myself,helping someone out,helping someone out,paying something important,$6,i think a 50/50 split is fair,so its fair for both of us,1,1,
2025-12-09 12:43:40,2025-12-09 12:50:14,0,,100,394,1,2025-12-09 12:50:15,R_8wTy87PjqUyi6Kx,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.109,0,Selfish like a tax man,Giving a gift / xmas present to someone,Being charitable donating money,Like a corrupt politician,3.547,12.157,13.755,2,They already got something and I wanted to keep some for myself.,0,0,0.206,0,1,4,6,2,5,3,0,0,2.008,0,Just being equal like sharing half of a cake,Being selfish like a tax man,Being generous to charity,Like giving a bday/xmas gift to someone ,8.221,22.467,24.212,7,"I try to put myself in the other person's situation. We all want to earn some money, it's only fair to be equal",0,0,0.204,0,35,1,8,0,6,7,5c730ca1f674750001df8d09,69381966b3f497699c0461d8,6937e69e78cf183d05203ffa,1,$0,$4,$2,'-$4,$6,$0,$8,Like a corrupt politician,Selfish like a tax man,Being charitable donating money,Giving a gift / xmas present to someone,Being selfish like a tax man,Like giving a bday/xmas gift to someone ,Just being equal like sharing half of a cake,Being generous to charity,$4,"I try to put myself in the other person's situation. We all want to earn some money, it's only fair to be equal",They already got something and I wanted to keep some for myself.,1,1,
2025-12-09 12:28:41,2025-12-09 12:58:28,0,,100,1786,1,2025-12-09 12:58:28,R_7lB3BGLxgDINi2U,,,,,,,anonymous,EN,1,,,1,1,3,0,0,2.029,0,it would be like not paying for something u deserve,it would be being fair and considerate,for me it would unfair . taking from others who has little to add to yours,i would see it as not having selflove or care.,21.399,34.627,36.002,4,"its me being fair. The person has a total of 5, and i am left with 7",0,0,0.221,0,1,4,6,2,5,3,0,0,2.036,0,giving more than you actually have and its not the best especially for relationships as i can cause the relationship to sink,"it would be a fair bargain from my end, everyone has an equal share.",that would be so unfair in the scheme of things.,it would be a considerate action. lifting someone from nothing to something.,6.271,13.933,15.264,4,its me being fair,0,0,0.224,0,32,1,5,0,7,7,674073d8479b986ba8d799ec,693815d72ddba237832941c9,6937e69e78cf183d05203ffa,1,$0,$2,'-$4,$4,$8,$6,$0,for me it would unfair . taking from others who has little to add to yours,it would be like not paying for something u deserve,it would be being fair and considerate,i would see it as not having selflove or care.,that would be so unfair in the scheme of things.,it would be a considerate action. lifting someone from nothing to something.,"it would be a fair bargain from my end, everyone has an equal share.",giving more than you actually have and its not the best especially for relationships as i can cause the relationship to sink,$4,its me being fair,"its me being fair. The person has a total of 5, and i am left with 7",0,1,
